FAM1625|F0092|MFA01351|05/11/2007|MAUFM020|JRG|05/11/2007|1.0|1.0|NONE|10144|ACI|03/11/2007| ||
FAM1625|F0092|MFA01351|05/11/2007|MLGLU001|BTL|05/11/2007|2.0|2.0|NONE|10140|ACI|03/11/2007| ||
FAM1625|F0092|MFA01351|05/11/2007|MSIQN001|BTL|05/11/2007|1.0|1.0|NONE|10141|ACI|03/11/2007| ||
FAM1626|F0111|MFA01351|05/11/2007|MAUFM020|JRG|05/11/2007|2.0|2.0|NONE|10145|ACI|03/11/2007| ||
FAM1626|F0111|MFA01351|05/11/2007|MSIQN001|BTL|05/11/2007|2.0|2.0|NONE|10142|ACI|03/11/2007| ||
FAM1627|F0005|MFA01352|05/11/2007|MLGLU001|BTL|05/11/2007|3.0|3.0|NONE|10138|ACI|03/11/2007| ||
FAM1628|F0093A|MFA01352|05/11/2007|MSIQN001|BTL|05/11/2007|1.0|1.0|NONE|10139|ACI|03/11/2007| ||
FAM1629|F0057C|MFA01353|03/11/2007|MSIQN001|BTL|03/11/2007|2.0|2.0|NONE|10137|AING|03/11/2007| ||
FAM1630|F0067D|MFA01353|03/11/2007|MSIQN001|BTL|03/11/2007|1.0|1.0|NONE|10136|AING|03/11/2007| ||
FAM1631|F0067D|MFA01354|03/11/2007|MLGLU001|BTL|03/11/2007|2.0|2.0|NONE|10135|AING|03/11/2007| ||
FAM1632|F0057C|MFA01355|03/11/2007|MEKTM100|BKS|03/11/2007|12.0|12.0|NONE|10134|AING|03/11/2007| ||
FAM1633|F0106|MFA01356|03/11/2007|MMEDP250|PACK|03/11/2007|4.0|4.0|NONE|10133|AING|03/11/2007| ||
FAM1634|F0030D|MFA01357|05/11/2007|MMEDP250|PACK|05/11/2007|8.0|8.0|NONE|10128|TRI|03/11/2007| ||
FAM1634|F0030D|MFA01357|05/11/2007|MMEH1201|VIAL|05/11/2007|8.0|8.0|NONE|10127|TRI|03/11/2007| ||
FAM1634|F0030D|MFA01357|05/11/2007|MMEHGM97|VIAL|05/11/2007|8.0|8.0|NONE|10126|TRI|03/11/2007| ||
FAM1634|F0030D|MFA01357|05/11/2007|MMEHNB25|BTL|05/11/2007|4.0|4.0|NONE|10125|TRI|03/11/2007| ||
FAM1634|F0030D|MFA01357|05/11/2007|MMESM001|KG|05/11/2007|4.0|4.0|NONE|10124|TRI|03/11/2007| ||
FAM1635|F0179|MFA01358|05/11/2007|MMEDP250|PACK|05/11/2007|4.0|4.0|NONE|10123|TRI|03/11/2007| ||
FAM1635|F0179|MFA01358|05/11/2007|MMEH1201|VIAL|05/11/2007|4.0|4.0|NONE|10122|TRI|03/11/2007| ||
FAM1635|F0179|MFA01358|05/11/2007|MMEHGM97|VIAL|05/11/2007|4.0|4.0|NONE|10121|TRI|03/11/2007| ||
FAM1635|F0179|MFA01358|05/11/2007|MMEHNB25|BTL|05/11/2007|2.0|2.0|NONE|10120|TRI|03/11/2007| ||
FAM1635|F0179|MFA01358|05/11/2007|MMESM001|KG|05/11/2007|2.0|2.0|NONE|10119|TRI|03/11/2007| ||
FAM1636|F0012B|MFA01359|05/11/2007|MMEDP250|PACK|05/11/2007|4.0|4.0|NONE|10118|TRI|03/11/2007| ||
FAM1637|F0029|MFA01360|05/11/2007|MMESP250|PACK|05/11/2007|8.0|8.0|NONE|10117|TRI|03/11/2007| ||
FAM1638|F0030D|MFA01361|05/11/2007|MROGF001|KG|05/11/2007|5.0|5.0|NONE|10116|TRI|03/11/2007| ||
FAM1639|F0179|MFA01362|05/11/2007|MROGF001|KG|05/11/2007|3.0|3.0|NONE|10115|TRI|03/11/2007| ||
FAM1640|F0011|MFA01363|05/11/2007|MROGF001|KG|05/11/2007|4.0|4.0|NONE|10113|TRI|03/11/2007| ||
